DateTime,AddedIPs,RemovedIPs
1541896339,51,71
1541897795,77,60
1541898782,134,56
1541899466,52,47
1541900430,51,61
1541901389,54,56
1541902359,54,60
1541903310,71,41
1541904272,38,70
1541904982,62,37
1541905712,43,41
1541906691,36,52
1541907384,40,82
1541908109,65,53
1541909141,78,55
1541910031,35,110
1541910995,116,43
1541911704,43,51
1541912444,48,36
1541913144,29,63
1541913875,51,41
1541914845,49,57
1541915791,61,44
1541916755,44,76
1541917466,70,58
1541918182,54,19
1541918905,22,61
1541919636,59,42
1541920621,41,45
1541921553,47,57
1541922514,63,109
1541923478,101,54
1541924433,65,50
1541925152,44,46
1541925870,49,51
1541926582,58,47
1541927318,49,39
1541928290,46,60
1541929228,56,77
1541930189,75,36
1541931163,57,57
1541931866,53,27
1541932583,30,64
1541933305,58,54
1541934039,50,49
1541934982,41,68
1541936199,77,46
1541936907,45,48
1541938107,61,42
1541939566,38,71
1541940264,55,42
1541940991,60,59
1541941958,50,27
1541942676,39,38
1541943381,27,41
1541944093,51,43
1541944957,39,65
1541945798,79,69
1541946501,63,35
1541947230,40,43
1541947974,41,32
1541948916,35,44
1541949540,32,36
1541950335,46,61
1541951055,56,74
1541952019,67,67
1541953001,70,27
1541953953,38,41
1541954665,29,37
1541955383,51,79
1541956107,76,42
1541956835,62,61
1541957798,62,43
1541958755,52,59
1541959717,58,52
1541960669,47,35
1541961633,46,54
1541962591,50,38
1541963562,47,80
1541964266,72,70
1541964988,70,42
1541965706,44,66
1541966437,67,44
1541967396,60,71
1541968352,71,42
1541969314,51,64
1541970047,56,56
1541971254,53,33
1541971953,18,62
1541972912,85,71
1541973628,37,47
1541974350,51,63
1541975074,58,54
1541975784,63,39
1541976527,42,41
1541977241,45,40
1541977956,41,59
1541978670,48,52
1541979387,55,55
1541980107,51,51
1541980838,50,45
1541981803,47,58
1541982820,47,75
1541983713,79,33
1541984433,21,80
1541985151,66,43
1541985896,51,56
1541986840,60,76
1541987794,62,41
1541988740,53,51
1541989452,29,113
1541990170,105,78
1541990895,84,60
1541991611,59,42
1541992583,54,82
1541993538,65,69
1541994501,69,56
1541995460,51,81
1541996415,89,74
1541997396,59,47
1541998339,61,43
1541999316,27,74
1542000268,73,45
1542001228,45,77
1542002193,66,48
1542003157,43,23
1542003866,35,66
1542004587,67,21
1542005307,18,54
1542006039,55,34
1542006998,46,72
1542007954,63,42
1542008925,57,63
1542009868,51,28
1542010814,42,82
1542011533,63,69
1542012255,77,30
1542012966,45,71
1542013725,76,38
1542014667,56,75
1542015630,71,51
1542016344,40,82
1542017075,84,36
1542017789,53,47
1542018516,38,64
1542019454,56,72
1542020437,71,53
1542021148,62,75
1542021868,54,25
1542022583,30,62
1542023310,63,35
1542024297,35,81
1542025223,72,70
1542026196,86,64
1542027152,66,52
1542028117,62,56
1542029068,46,29
1542030030,35,73
1542030764,61,45
1542031479,42,49
1542032186,54,40
1542032905,35,38
1542033870,61,79
1542034834,80,63
1542035800,62,39
1542036906,30,45
1542037717,47,54
1542038675,51,90
1542039632,96,52
1542040346,45,39
1542041074,41,46
1542042035,44,74
1542042730,58,38
1542043473,46,39
1542044428,45,57
1542045389,59,49
1542046356,46,37
1542047311,34,53
1542048271,57,62
1542049239,55,64
1542050185,58,50
1542051138,60,42
1542051852,32,46
1542052575,47,43
1542053289,28,33
1542054034,43,28
1542055481,63,54
1542056181,34,44
1542056915,52,41
1542057867,37,74
1542058829,73,35
1542059788,42,56
1542060754,41,70
1542061451,60,42
1542062192,41,63
1542063137,56,40
1542063938,27,41
1542064852,42,31
1542065778,42,115
1542066735,107,51
1542067726,40,140
1542068669,143,29
1542069631,41,101
1542070587,83,61
1542071559,49,41
1542072532,40,44
1542073471,58,49
1542074427,34,67
1542075382,56,39
1542076355,43,63
1542077064,68,55
1542077788,60,52
1542078506,33,26
1542079232,36,59
1542080199,64,43
1542081148,39,35
1542082124,24,34
1542083077,34,72
1542084028,55,44
1542084987,57,46
1542085956,44,69
1542086913,57,42
1542087868,27,50
1542088835,57,33
1542089798,33,78
1542090758,82,70
1542091465,66,33
1542092182,34,56
1542092905,50,34
1542093631,46,45
1542094345,38,65
1542095070,70,56
1542096036,46,50
1542096987,54,59
1542097686,83,49
1542098433,40,66
1542099388,72,51
1542100353,46,53
1542101313,48,47
1542102275,59,46
1542103235,53,87
1542104179,80,75
1542105136,83,47
1542105848,50,60
1542106572,59,58
1542107538,67,46
1542108256,45,55
1542108995,56,33
1542109996,40,66
1542110920,59,37
1542111875,39,40
1542112813,51,34
1542113536,34,34
1542114255,38,55
1542114999,57,37
1542115952,35,40
1542116664,34,53
1542117382,49,68
1542118107,72,35
1542118831,29,65
1542119793,72,38
1542120750,54,52
1542121720,50,34
1542122672,40,54
1542123630,49,78
1542124247,53,44
1542125056,42,40
1542126017,39,22
1542126730,35,42
1542127449,41,39
1542128171,41,44
1542129141,56,49
1542130098,63,55
1542131058,45,45
1542132017,46,49
1542133000,68,34
1542133955,33,51
1542134666,45,59
1542135382,71,37
1542136106,33,65
1542136824,59,34
1542137546,44,64
1542138269,73,43
1542138994,34,52
1542139960,46,34
1542140911,50,59
1542141877,43,115
1542142835,108,77
1542143786,62,133
1542144754,136,42
1542145699,46,44
1542146662,41,58
1542147367,41,61
1542148098,51,50
1542148808,39,63
1542149566,35,57
1542150501,58,47
1542151458,70,60
1542152483,54,72
1542153451,58,32
1542154357,45,47
1542155067,46,45
1542155784,44,63
1542156758,59,53
1542157470,37,45
1542158191,50,75
1542159151,75,65
1542159867,54,48
1542160587,56,82
1542161308,71,75
1542162028,68,67
1542162992,68,69
1542163952,63,55
1542164918,62,63
1542165871,64,100
1542166839,86,62
1542167543,61,50
1542168276,64,53
1542168984,49,105
1542169700,88,38
1542170426,44,54
1542171163,61,63
1542171868,35,41
1542172595,48,72
1542173549,55,30
1542174514,30,48
1542175472,53,75
1542176430,89,62
1542177396,62,72
1542178347,61,54
1542179317,64,45
1542180268,41,25
1542181229,44,67
1542182189,70,76
1542182920,70,27
1542183875,43,87
1542184595,74,56
1542185546,55,38
1542186269,39,33
1542186988,37,74
1542187960,81,51
1542188666,45,42
1542189648,53,57
1542190588,60,32
1542191539,45,79
1542192252,67,53
1542192990,38,51
1542193692,55,56
1542194435,36,35
1542195396,43,74
1542196352,75,40
1542197317,39,30
1542198276,31,75
1542199212,71,52
1542199932,57,51
1542200657,53,58
1542201616,69,43
1542202332,41,42
1542203069,38,28
1542204034,45,52
1542204998,49,42
1542205956,33,62
1542206911,56,67
1542207878,61,81
1542208831,88,49
1542209793,34,51
1542210751,57,72
1542211915,72,39
1542212896,37,55
1542213856,53,98
1542214822,73,51
1542215814,60,111
1542216510,104,35
1542217472,65,81
1542218441,74,34
1542219382,45,59
1542220340,75,79
1542221051,71,47
1542221767,42,131
1542222489,131,53
1542223232,52,52
1542224196,51,71
1542225154,60,45
1542226121,68,46
1542227071,107,68
1542228032,79,135
1542228744,35,54
1542229472,51,45
1542230186,72,54
1542230912,45,28
1542231890,41,43
1542232841,36,53
1542233788,51,47
1542234997,43,54
1542235975,35,75
1542236916,69,43
1542237638,28,59
1542238360,41,51
1542239323,80,64
1542240264,62,41
1542241215,46,66
1542242201,67,67
1542243154,59,79
1542244121,68,30
1542245071,43,46
1542246031,44,69
1542246744,51,53
1542247469,53,68
1542248248,80,65
1542249196,78,73
1542250115,55,64
1542251079,66,61
1542252033,71,49
1542252749,36,46
1542253475,48,37
1542254195,38,48
1542255160,48,39
1542256108,41,50
1542257054,43,35
1542258041,46,66
1542258986,60,47
1542260061,42,89
1542260905,68,48
1542261886,53,28
1542262585,37,89
1542263307,103,34
1542264270,55,67
1542264983,39,27
1542265759,37,48
1542266673,64,54
1542267634,67,103
1542268342,83,36
1542269077,37,63
1542269785,75,50
1542270760,35,50
1542271715,57,64
1542272677,55,96
1542273637,98,46
1542274608,53,29
1542275549,56,53
1542276266,37,50
1542277028,41,34
1542277701,50,35
1542278435,43,97
1542279417,94,51
1542280355,63,65
1542281065,43,17
1542282072,37,44
1542282728,38,55
1542283706,58,64
1542284663,58,35
1542285628,54,79
1542286346,65,62
1542287076,48,42
1542287788,56,41
1542288507,49,72
1542289227,59,31
1542289945,34,43
1542290670,33,36
1542291630,63,43
1542292350,28,48
1542293073,48,32
1542293782,39,38
1542294522,45,24
1542295470,29,34
1542296923,59,67
1542297637,50,43
1542298647,65,79
1542299833,55,101
1542300776,92,52
1542301718,79,34
1542302673,53,54
1542303401,43,25
1542304114,32,34
1542305072,25,45
1542306033,80,65
1542306753,25,40
1542307494,54,33
1542308182,46,68
1542308916,59,36
1542309868,55,60
1542310835,50,45
1542311791,43,64
1542312753,72,70
1542313465,54,33
1542314188,32,65
1542315151,73,46
1542315895,31,41
1542316829,68,67
1542317797,56,39
1542318755,57,59
1542319467,36,44
1542320437,39,83
1542321394,63,41
1542322117,41,56
1542323077,59,51
1542323783,37,42
1542324535,32,66
1542325471,75,52
1542326182,30,49
